,0,1,2
0,곤지아 마지막,/qna/detail.nhn?d1id=3&dirId=30305&docId=298552811,"곤지암 영화 마지막에 사람들이름이랑 제작사,도움준곳 다 나오고나서 누구를 추억한다는데 그 사람이 누구고 왜 추억한다고하는지 이유좀 설명해주실수있나요? 만약에 죽었으면 왜 죽었는지 이유도좀.."
1,로맨스 영화? 였던거 같은데 막 남자가 방 두드리면서 뛰어다니다가 누구를 마주쳤었나 그래서 화면이 뿌얘지는,/qna/detail.nhn?d1id=3&dirId=30302&docId=298552754,로맨스 영화? 였던거 같은데 막 남자가 방 두드리면서 뛰어다니다가 누구를 마주쳤었나 그래서 화면이 뿌얘지는 장면이 있는 영화인데 제목이 뭘까요?ㅠㅠ 기억이 안남요
2,아바타 스타 슈 주제가 (내 이름은 슈 내 이름은 슈 모두의 친구 슈~~ 이 노래) 악보 좀요 급해요 내공,/qna/detail.nhn?d1id=3&dirId=304&docId=298552753,아바타 스타 슈 주제가 (내 이름은 슈 내 이름은 슈 모두의 친구 슈~~ 이 노래) 악보 좀요 급해요 내공 50 드랴요
3,랜덤채팅의 그녀가 왜 1등인가요,/qna/detail.nhn?d1id=3&dirId=30511&docId=298552719,첫화보고 노잼이라 그 뒤로 안봤는데 아무리 생각해도 이해안감
4,사주가 괜찮은지 봐주세요~~^^ 2018년 4월 2일 12시 41분(오시) 양력 여자아이 도하윤,/qna/detail.nhn?d1id=3&dirId=31506&docId=298552706,사주가 괜찮은지 봐주세요~~^^2018년 4월 2일 12시 41분(오시) 양력여자아이 도하윤
5,생산성과 임금에 관해 질문합니다 ㅎㅎ 생산성은 떨어지는데 근로자들의 임금을 올려줘야 하는지에 대해서 궁금합니,/qna/detail.nhn?d1id=3&dirId=30103&docId=298552703,"생산성과 임금에 관해 질문합니다 ㅎㅎ생산성은 떨어지는데 근로자들의 임금을 올려줘야 하는지에 대해서 궁금합니다.임금을 올려주는 것이 맞다고 보나, 생산성 관련해서 해결방법이생각이 안납니다. 이런 노사관계는 어떻게 해결하야 하나요?"
6,안녕으로 시작하는 여자가수노래 제목좀 부탁드립니다.,/qna/detail.nhn?d1id=3&dirId=30201&docId=298552685,카페같은데에서 많이 나오는 노래인데 여자가수분입니다. 드라마주제가인것도같고 드라마를 안봐서 확실하게는 모르겠습니다. 첫소절이 안녕 으로 시작하는노래인데 약간 몽환적인 느낌이 나는노래 발라드노래 제목좀 부탁드립니다.
7,캐논 200d vs 70d 동영상촬영 문의,/qna/detail.nhn?d1id=3&dirId=3031002&docId=298552665,카메라 구입 예정인데요동영상 촬영 연습이 주 목적이에요200d랑 70d랑 동영상 촬영에서 성능 차이 많이 나나요?난다면 어떤 점에서 나는지 알려주세요200d가 초점이 빠르다 이런걸로 광고하던데보급기 사도 괜찮을까요?
8,라사라 청강문화산업대 디아프 사디 에스모드서울,/qna/detail.nhn?d1id=3&dirId=31302&docId=298552659,이중에서 제일 나은곳이 어디인가요솔직히 학비생각해서 라사라랑 청강 알아보고는 있는데 어디가 더 나은가여ㅛ?
9,그냥 길을 가는데 무당이 절 잡아먹고 있었어요. 친구랑 가고 있었는데 친구는 그냥 쳐다보기만 하고 무당이 절,/qna/detail.nhn?d1id=3&dirId=31505&docId=298552593,그냥 길을 가는데 무당이 절 잡아먹고 있었어요. 친구랑 가고 있었는데 친구는 그냥 쳐다보기만 하고무당이 절 잡아먹는 꿈이었는데 어제는 빨간 도깨비가 나와서 일어나라고 잠에서 깨라는 식으로 얘기하고 나서깨나까 머리도 아프고 열이나서 보니 38.5도 였거든요오늘은 무당꿈꾸고 나니까 또 열이나서 보니 38도가 넘어가는데요.. 질병꿈일까요?
