,0,1,2
0,이직이유?,/qna/detail.nhn?d1id=4&dirId=40612&docId=298557790,안녕하세요이직준비중인 여자입니다자기소개서나 면접볼때 이직이유를 물어보면 뭐라고 해야 적절할까요?나이도 많고 경력도 없어서 불안하지만 지금있는 회사가 분위기도 별로고 직원들과도 대면대면해서 옮기고 싶어서요 같은 사무쪽으로 알아보려고 합니다도움 좀 주세요~~
1,안녕하세요..원룸건물구입예정입니다(1세대1주택자) 현재신랑명의의 빌라에 거주중이고 이빌라를 팔고 건물을 구매,/qna/detail.nhn?d1id=4&dirId=40301&docId=298557786,안녕하세요..원룸건물구입예정입니다(1세대1주택자)현재신랑명의의 빌라에 거주중이고 이빌라를 팔고건물을 구매할예정인데 빌라를 팔때양도소득세를 내야하는지와 원룸구입후 종합소득세를 내야하는가 궁금합니다(원룸매매가5억 보증금2000 월세300예정하에)부동산에 대해 너무몰라서ㅜㅜ지식인님들의 답변부탁드려요!
2,OK Cashbag 관련 질문 !!~~,/qna/detail.nhn?d1id=4&dirId=40611&docId=298557773,안녕하세요 OK Cashbag  관련 질문 드리겠습니다.커피믹스 같은것 먹고서  핸드폰 OK Cashbag 어플에  모으고있습니다.생각처럼 많이모이진않앗지만  이런포인트는 어떻게사용하나요?OK Cashbag 모바일카드  바고드 같은것도 어플에 보이던데.주유소같은데서  기름 넣을때도  바코드 찍고  포인트 사용가능한건가요?  궁금합니다~
3,무배당 행복을 多주는 가족사랑보험(0809) 상실된 보험인데 회복과 해지 어느게 유리할까요,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557763,"보장내용은 아래와 같습니다.보험계약은 2009년에 하였고 2016년2월까지 납부후 납부카드를 분실한 후에 재발급받아서돈이 안나가고 있는지를 모르고 이년이 지나가서 보니 현재 효력이 상실된 계약인 상태이고이달말까지는 효력회복이 가능한 상태입니다.2016년2월까지 납부한 금액은 \2,449,080 이고 해지시 환급금은 \1,262,845 입니다.효력회복을 위해서는 25회분의 보험료 약 75만원을 추가로 납부해야 합니다.그럼 추가납부해야 하는 75만원에 환급금에 대한 기회비용까지 총 200만원의 비용이 드는데검색해보니 이 보험 자체는 좋은 보험이라고 나오는데요저런 비용에도 불구하고도 유지하는게 유리한지 현행 보험상품들에 대한 정보가 없어서비교평가를 하질 못하겠네요 조언 부탁드립니다."
4,좋은 채용 정보를 모아서 선별적으로 제공하는 사이트는 없나요?,/qna/detail.nhn?d1id=4&dirId=406&docId=298557757,"좋은 채용 정보를 모아서 선별적으로 제공하는 사이트는 없나요?사람인, 잡코리아 등은 아는데.. 여기는 너무 쓸데 없는 정보도 같이 올라와서 정보를 얻기가 힘듭니다."
5,은행에서 외화를 원화로 환전하면 자료같은게 남나요?? 만역에 남으면 가족들이 환전 내역 확인시켜달라거 하면,/qna/detail.nhn?d1id=4&dirId=4010506&docId=298557751,은행에서 외화를 원화로 환전하면 자료같은게 남나요??만역에 남으면 가족들이 환전 내역 확인시켜달라거 하면 은행에서 해주나여??
6,일용직 햇살론,/qna/detail.nhn?d1id=4&dirId=4010503&docId=298557746,장기 연체 기록있습니다. 17년 1월 26일 날짜로로 현재 1년 이상 지났고 지금은 대출 및 연체 없습니다.아웃소싱 소속으로 생산직 근무중인데 이번에 원천징수 영수증 보니 일용직으로 되있더라고요..그동안 4대보험 미가입했었는데 3월부터 4대보험 신청해서 3회 이상 납부 후 6월에 햇살론 알아보려고 합니다급여는 250으로 4대보험 신고 넣었고요햇살론 가능할까요?? 한도는 어느정도 나올까요
7,이런 라이터는 어디서 어떻게 가스넣나요???,/qna/detail.nhn?d1id=4&dirId=40103&docId=298557737,이런 라이터는 어디서 어떻게 가스넣나요???
8,"대출 문의좀 합니다. 무직 , 학생 -현재 부채- 학자금 300 Osb 저축은행 500 ( 1년 전) 신용카",/qna/detail.nhn?d1id=4&dirId=4010506&docId=298557721,"대출 문의좀 합니다.무직 , 학생-현재 부채-학자금 300Osb 저축은행 500 ( 1년 전)신용카드 사용 (연체 x)연체 이력 x신용등급 7대출 가능한곳 있을까요 ..?"
9,기대출이 하나은행(급여은행) 바꿔드림론 1560정도인데 우리은행 1900 -이자만 납부중 고려저축햇살론 12,/qna/detail.nhn?d1id=4&dirId=4010503&docId=298557708,기대출이하나은행(급여은행) 바꿔드림론 1560정도인데우리은행 1900 -이자만 납부중고려저축햇살론 1200정도연체없이 갚아나가고 있는데..서울에 전세구하려니 5000천만원전세자금대출이 필요한데 가능한방법없을까요?4대보험회사이고 정규직 6개월 재직입니다.말도안되는 광고말고..정말 가능성있는 답변이 필요합니다.
