,0,1,2
0,LG올뉴그램 질문입니다 올뉴그램 2018년식 14인치를 사려고 알아보는데 기본적으로 140만원 이상에 i5,/qna/detail.nhn?d1id=2&dirId=206&docId=298552477,LG올뉴그램 질문입니다올뉴그램 2018년식 14인치를 사려고 알아보는데기본적으로 140만원 이상에 i5 탑재더라구요근데 인터넷쇼핑몰에 올뉴그램 2018년식 14인치가100만원 초반인 대신 i3 탑재인데이 모델도 정식으로 나온 제품이 맞나요?
1,신용 파산한 개인은 소규모 법인 만들어 대표를 할수있나요? 없나요? 개인파산과 법인대표 자격과 관계 있나요?,/qna/detail.nhn?d1id=2&dirId=2011603&docId=298552448,신용 파산한 개인은 소규모 법인 만들어대표를 할수있나요? 없나요?개인파산과 법인대표 자격과 관계 있나요?없나요?파산한 사람은 본인명의 핸폰 만들수 있나요?
2,포켓몬 정품 칩에 세이브데이터 여러번 덮어씌우면 밴걸리나요?,/qna/detail.nhn?d1id=2&dirId=20901&docId=298552425,"제목 그대로입니다커펌텐도로 JKSM같은 세이브데이터 추출하는 프로그램을 사용해서한개의 정품 칩에 각각 다른 트레이너넘버를 가진 세이브데이터들을 덮어씌우고 인터넷 통신교환하면 밴먹을까요?게임싱크, GTS, 레이팅 등은 하지 않고 오로지 와이파이(원거리) 통신교환만 한다는 전제입니다"
3,집에서할수있는요가 뭐가좋아요 골반으로 !,/qna/detail.nhn?d1id=2&dirId=20303&docId=298552406,집에서할수있는요가 뭐가좋아요 골반으로 !
4,카카오배그를 할려는데 조립은 못사겟고 만들어진걸로 살라면 얼마정도있어야될까요?,/qna/detail.nhn?d1id=2&dirId=20304&docId=298552355,카카오배그를 할려는데 조립은 못사겟고 만들어진걸로 살라면 얼마정도있어야될까요?
5,소울워커 어윈 스킬트리,/qna/detail.nhn?d1id=2&dirId=204&docId=298552272,요번에 소울워커 어윈을 키우려고 하는데스킬트리 대부분이 옛날 거더군요바뀐게 있는지는 모르겠지만스킬트리 알려주실수 있나요?
6,ㅈㄱㅁㅇㅈㅈㄱㅁㅇㅈㅇㄹㄷㄹㅅㅁㅇㄷㅁ 이게뭔지..,/qna/detail.nhn?d1id=2&dirId=2011606&docId=298552262,ㅈㄱㅁㅇㅈㅈㄱㅁㅇㅈㅇㄹㄷㄹㅅㅁㅇㄷㅁ이게뭔지 아시는분....ㅠㅠ
7,경기도 일하는 청년통장 서류 문의있어요 고객센터 겁나 연결안되네요ㅡㅡ;;; 사업자등록증사본 대신 재직증명서내,/qna/detail.nhn?d1id=2&dirId=20504&docId=298552220,경기도 일하는 청년통장 서류 문의있어요고객센터 겁나 연결안되네요ㅡㅡ;;;사업자등록증사본 대신 재직증명서내도된다던데재직증명서 대신 국민연금가입증명서로내도 되나요?인터넷보니 그렇게도 낸다던데...재직증명서보다 간편하게 뗄수있을것같아서요
8,오늘안에올까요??6416187234,/qna/detail.nhn?d1id=2&dirId=20303&docId=298552119,오늘안에올까요??6416187234
9,게임원화가대학 입시미술vs게임원화학원,/qna/detail.nhn?d1id=2&dirId=212&docId=298552065,게임원화가가 되기위해 대학진학을 생각중인 고2입니다. 게임원화가 관련 대학은 잘 없다고 하던데 어디로 진학해야할까요?실기전형까지 생각하고 있고 입시미술학원 다닐 생각이었는데 입시미술학원 말고 게임원화학원 가라는 분들이 있던데 이유가 뭔가요?게임원화학원에도 입시 준비가능한가요?
