,0,1,2
0,기침을자주하고 식욕도 없고 코막힘에 침이든물삼킬때 목통증도있고 식은땀도 자주나요 왜이러는거죠?,/qna/detail.nhn?d1id=7&dirId=70102&docId=298553547,기침을자주하고 식욕도 없고 코막힘에 침이든물삼킬때 목통증도있고 식은땀도 자주나요 왜이러는거죠?
1,대화할 때 친구가 알려줘서 치료해보려 하는데요,/qna/detail.nhn?d1id=7&dirId=70204&docId=298553518,대화할 때 친구가 알려줘서 치료해보려 하는데요제가 잇몸이 좀 많이 보인다네요이런건 어떻게 치료 해야 하나요?수술 받아야 되나요?
2,b85m pro4 가좋나요? b85m - g가좋나요? 85 pro4를샀는데 품절됬다고 지들마음대로 85m -,/qna/detail.nhn?d1id=7&dirId=70118&docId=298553517,b85m pro4 가좋나요? b85m - g가좋나요?85 pro4를샀는데 품절됬다고 지들마음대로 85m -g로 바꾼다해서요
3,코 성형 흉터자국 재수술 문의드려요 지금 개방형으로 코수술한지 4년이 지났는데요 흉터자국이 자꾸 신경쓰이네요,/qna/detail.nhn?d1id=7&dirId=70103&docId=298553507,코 성형 흉터자국 재수술 문의드려요지금 개방형으로 코수술한지 4년이 지났는데요 흉터자국이 자꾸 신경쓰이네요 코를 재수술받으면 없어지나요?아니면 흉터제거수술을 해야하나요?부탁드립니다ㅠ
4,"토요일밤에 장염이 걸려서 어제분까지 약을 타주셔서 먹고 설사도 안하고 해서 어제 조금 매운음식, 초코바, 과",/qna/detail.nhn?d1id=7&dirId=7010102&docId=298553506,"토요일밤에 장염이 걸려서 어제분까지 약을 타주셔서 먹고 설사도 안하고 해서 어제 조금 매운음식, 초코바, 과자 등을 먹었는데도 별다른 증상이 없더라구요. 오늘도 그냥 학교에서 나온 점심대로 먹었는데 설사가아닌 굵은 대변이 나왓는데 이거 이제 커피나 이런거 먹어도 되는건가요? 슬슬 공부를 해야할때라 커피를 마셔야해서요.."
5,운동 추천좀 해주세요,/qna/detail.nhn?d1id=7&dirId=707&docId=298553489,"일단 저는 성인 남성입니다.제가 대학들어갈 즈음(약5년전) 작은 교통사고가 나서 왼쪽 어깨와 발목에 손상이 갔습니다.그래서 반대쪽 팔과 다리를 주로 쓰려다보니 양쪽이 다 무리가 가는 불상사가 생겼는데요...양발목은 인대가 약간씩 늘어나서 발목을 스트레칭하려고 돌리면뚝뚝 소리가나며 어긋나는 느낌이 계속 들구요대신 아프지는 않습니다 불편한 느낌정도구,아픈건 어깨가 문제인데 평상시에는 괜찮습니다크게 불편한게 없이 잘 지내다가 자주 움직이거나 사용하면통증이 와서 팔을 90도 각도 이하로 겨우 들정도에요병원에선 회전근손상이라고 하는데그래서 보완을 하려고 운동을 해서 근육을 키워가지고 부담을 줄여 잦은 움직임에도통증이 생기지 않도록 하고 싶은데 어떤 운동이 좋을지 잘 모르겠습니다 ㅠ그래서 근력을 키워 보완을 하려고 하는데 어떤 운동이 도움이 될까요?체격은 171/70 상체는 마른편이며 약간 하체비만입니다. 허벅지와 종아리가 많이 두꺼워요.그래서인지 다리에 쥐도 많이나고 오래 빨리 달리거나 하면 발과 종아리가 터질거같은 느낌이 듭니다.그 터질거같은 느낌이 좀 많이 아파요 ㅠㅠ간단히 정리하면 어개와 발목 쪽 근육을 키워 관절에 무리가 가지않도록도와줄수 있는 운동이며,단순  헬스같은것이 아닌 수영, 테니스, 농구 뭐 이런 운동을 추천해주셨으면 좋겠습니다."
6,영양제 복용법 관련 문의드려요,/qna/detail.nhn?d1id=7&dirId=70403&docId=298553484,"아침먹고 프로바이오틱스, 비타민C 한알씩 같이저녁먹고 비오틴,종합비타민,실리마린 한알씩 같이자기전 칼슘마그네슘 두알이렇게 먹고있는데 괜찮을까요"
7,안녕하세요 제가 지금 헤노흐 쇤라인 자반증으로 의심이가서 약을 먹고있습니다 13일째 약 복용중 앞으로 일주일,/qna/detail.nhn?d1id=7&dirId=70404&docId=298553462,안녕하세요제가 지금 헤노흐 쇤라인 자반증으로 의심이가서약을 먹고있습니다 13일째 약 복용중앞으로 일주일약 남았고요담주 월요일 또 약 받으러 병원갑니다성인인데도 얄악을 못먹어서 파우더와 시럽으로먹고있어요 스테로이드 바르고 먹고 하는데 너무겁나네요 제가 먹고있는약입니다독한약이라고 하는데 계속 먹어도 될까요?피알디현탁시럽 안좋은말만 있네요스테로이드연고도 그렇고요
8,귀두염(부탁드립니다 ㅠㅠㅠ),/qna/detail.nhn?d1id=7&dirId=70113&docId=298553454,귀두염... 에 걸려서 그러는데.. 귀두의 3/4부분이란게 어디쯤이죠?병원에서 어쩌구저쩌구 설명해 주셨는데 부끄럽고 쪽팔려서 재대로 못물어보았네요...3/4부분을 어떻게 하라는데 3/4부분이 어디에요?
9,볼걸이인가요ㅠ사랑니인가요ㅠ,/qna/detail.nhn?d1id=7&dirId=70102&docId=298553406,볼걸이인지 사랑니때문인지 모르겠어서 글 납깁니다삼일전부터 현재까지 감기때문인지 편도가 붓고 콧물이 계속 나고 미열이 계속됐습니다그러다 오늘 오른쪽 입 안 어금니쪽 잇몸이 붓고 턱밑이 딱딱하게 부어있습니다이에 통증이 와서 뭐 씹을때도 아프고 가만있어도 아프고 미치겠네요 ㅠㅠㅠㅠ볼걸이면 이비인후과를 가고 사랑니면 치과를 가려는데 뭐 때문인거죠
