,0,1,2
0,중고차 살때 사고난 차는 왜안좋다고 하는거죠? 팩트로만 말해주세요,/qna/detail.nhn?d1id=8&dirId=8110201&docId=298553164,중고차 살때 사고난 차는 왜안좋다고 하는거죠? 팩트로만 말해주세요
1,서울시내버스에 대하여 말씀드립니다.,/qna/detail.nhn?d1id=8&dirId=81201&docId=298553150,서울시내버스에 대하여 말씀드립니다.서울시내버스 중 262번 버스의 첫차와 막차시간에 대하여 알려주세요^^
2,시시크림이뭐죠 커버력있나요,/qna/detail.nhn?d1id=8&dirId=80101&docId=298553137,시시크림이뭐죠 커버력있나요
3,홍 밥상 스테이크 시리즈,/qna/detail.nhn?d1id=8&dirId=80208&docId=298553123,1. 홍 떡볶이가 하나에 7000원씩 하던데 이거 혹시 1인분 인가요?2. 맛과 양은 어떤가요?
4,헛개나무 질문입니다,/qna/detail.nhn?d1id=8&dirId=80604&docId=298553120,마당에 있는 헛개나무가 작년에는 엄청나게 꽃이 피어 열매를 많이 수확하였습니다가정집 마당에서 키가 너무 자랄것 같아서 1월에 이렇게 전지를 했습니다올해는 꽃이나 열매를 기대하기는 어렵지요?내년이나 후내년엔 가능할까요?올래 잎은 열리면 수확을 해서 음용하려고 합니다만 맞는지요?조언 바랍니다
5,바리스타 UCEI 2급이 있는데요. 1급을 따려고하는데 자격증번호가 무엇인가요?,/qna/detail.nhn?d1id=8&dirId=8020306&docId=298553113,회원가입을 해야 시헙 접수를 하든가 할텐데자격증번호를 적으라고그러는데 자격증에 적혀있는 숫자란 숫자는 다 쳐봐도 조회가 안됩니다..
6,고등학생 다이어트 식단,/qna/detail.nhn?d1id=8&dirId=8030401&docId=298553108,"안녕하세요, 고등학교 2학년 입니다.제가 4월달부터 다이어트를 할려고 마음 먹었지만 아무 생각이 없기에 지식인에 여쭈어 봅니다.저는 165cm에 70kg 입니다. 불과 2년전 어깨가 안좋아서 운동을 하다가 그만두게 되었습니다.제 목표는 키는 모르겠지만... 55kg까지 빼고 그 몸무게를 유지 할 예정 입니다질병은 어깨충돌증후근 판정을 받고 2년이나 쉬어서 그런지 근육이 뭉쳤으며 아주 뻗뻗 합니다이 질병 고치는 운동 법 아시면 알려주세요 ㅜ.ㅜ !!! 회전근개 운동을 하라는데 뭐가 뭔지 어떻게 하는지 모르겠습니다.어깨를 들거나 꺽거나하면 몸이 아프고 범위가 넓지가 않네요그래서 새벽에 수영을 하는데 그냥 물에서 발차기 밖에 안합니다...이건 운동으로 볼 수 없어요 !!!전 근력운동 웨이트 보다는 유산소운동 스트레칭을 할 예정이에요그리고 아침식사를 하는데 식단은 1.고구마 작은것 3개 대충 150g 2.바나나 1개 100g 3.두유 4.샐러드5.삶은달걀1개아침식사 3시간후 비요트,요플렛, 같은 유산균을 먹습니다.점심은 학교급식 중 많이 먹진 않고 모든 반 정도만 먹을려 합니다저녁식사는 닭가슴살 샐러드.삶은댤걀1개.바나나.이외채소.야채.단호박은 선택해서 먹을려 합니다.그 후 저녁간식은 초코바.초코렛.견과류.달걀 흰자 2개.이렇게 먹을 예정이고 운동은 아마 일주일에 2일 저녁에 유산소 1시간 할려 합니다이외 식단이라든지,패턴유지,고쳐야 할 점이 있으면 도와주세요글 읽어주셔서 감사합니다"
7,츄파춥스 크레모사 같은 사탕 또 없나요? 크레모사 단종인 건지 보이지도 구하지도 못하겠어요ㅠㅠ,/qna/detail.nhn?d1id=8&dirId=8020209&docId=298553107,츄파춥스 크레모사 같은 사탕 또 없나요? 크레모사 단종인 건지 보이지도 구하지도 못하겠어요ㅠㅠ
8,홍콩 ems언제올까요? 정보 업데이트가 안돼서 답답합니다 LP011146222HK,/qna/detail.nhn?d1id=8&dirId=81301&docId=298553092,홍콩 ems언제올까요? 정보 업데이트가 안돼서 답답합니다LP011146222HK
9,오픈마켓과 개인쇼핑몰을 진행하려고합니다. 통신판매업신고는 한번만 하면될까요??,/qna/detail.nhn?d1id=8&dirId=81302&docId=298553086,오픈마켓과 개인쇼핑몰을 진행하려고합니다.통신판매업신고는 한번만 하면될까요??
