,0,1,2
0,필리핀 바기오에 사는 한국인유학생입니다 부모님께서 택배를 보내주셨는데 사진처럼 배송완료라고뜨는데 제가 있는,/qna/detail.nhn?d1id=9&dirId=9020104&docId=298558184,필리핀 바기오에 사는 한국인유학생입니다부모님께서 택배를 보내주셨는데사진처럼 배송완료라고뜨는데 제가 있는어학원까지 배송오지는 않았어요제가 어디로 찾으로가면되나요???그리고 배달해주지 않은건 세금때문이겠지요??친절하고 자세한답변부탁드립니다~~~!
1,일본 하우스텐보스 입장권 구입 질문,/qna/detail.nhn?d1id=9&dirId=9020101&docId=298558132,"안녕하세요.올 6월에 부모님을 모시고 후쿠오카에 갈 예정인데요.하우스텐보스 일정을 하루 넣으려고 하는데,입장권과 프리패스 두종류가 있더라구요.가격차이가 좀 있던데, 어트렉션도 별로 없는것 같아서...프리패스 사야 할까요?...다녀오신분 추천 부탁드려요."
2,대마도가는 부산항 탑승수속 시간 이번 원정낚시 계획중인데 출발하는 날 친구가 아침에 퇴근이라서 빠르게 부산항,/qna/detail.nhn?d1id=9&dirId=9020101&docId=298558108,대마도가는 부산항 탑승수속 시간이번 원정낚시 계획중인데출발하는 날 친구가 아침에 퇴근이라서 빠르게 부산항으로도착하면 10시반인데 11시30분 코비타는데 문제가 없을까요?권장은 1시간반전에 도착인데시간 오래걸리나요
3,중국 샤먼여행 3박4일 성수기요금이요,/qna/detail.nhn?d1id=9&dirId=9020102&docId=298558081,"샤먼으로 여름에 3박4일가려는데 자유여행으로요!성수기에 갈것같아서 항공권, 호텔 등등 예약하려는데 대충 비용을 얼마정도 생각해야할까요?성인2명이구요 호텔은 4성급으로 잡을예정이에요  항공은 저가항공도 괜찮아요!!둘이서 총 예산250생각하고있는데 너무 적나요?ㅜㅜ"
4,광고x)오사카 3박4일 여행 문의!!,/qna/detail.nhn?d1id=9&dirId=9020101&docId=298557951,"1. 간사이공항-숙소(도톤보리근처)-햅파이브관람차-우메다공중정원-저녁(도톤보리)-쇼핑-숙소2. 고베출발-레드락(맛집)-##명소 추천해 주세요!!##-카페(추천!)-도톤보리컴백-도톤보리크루즈-이자카야-숙소3. 유니버셜스튜디오-도톤보리돌아와서 간단쇼핑 후-저녁-숙소4. 이츠란라멘-빅카메라난바점-오지상치즈케잌-홉슈크림사들고-공항이렇게가 제 3박4일 오사카 일정인데요.이 일정에 대한 조언을 구하고자 합니다!1) 첫번 째,먼저 도톤보리에서 햅파이브가는 법과 이어서 공중정원 가는 법!2) 두번 째, 도톤보리에서 고베(레드락)가는 법!(레드락에서 걸어서 갈 수 있는 명소 또는 카페 추천!!!)3) 세번 째, 도톤보리에서 유니버셜가는 법이렇게 세개의 거리 질문이 있습니다.자세히 알려주시면 감사하겠습니다!!** 그리고 이러한 일정에 필요한 총 패스권은 어떻게 마련해야 할까요?(이동이 제일 머리아프네요;;;;;;;)** 또한 도톤보리 크루즈는 미리 오전에 예약하라던데 어디서 어떻게 하는 지...많은 질문이 있었네요..... 일정에 대한 팁을 주시면 감사하겠습니다!"
5,에어프랑스타고 파리공항경유 이스라엘가기(에어프랑스),/qna/detail.nhn?d1id=9&dirId=9020301&docId=298557890,50대 여자 혼자(영어회화 불가능-단어만) 인천공항출발 파리(stop over-9시간)경유 텔아비브도착 코스입니다.인천출발은 어째 가능하지만 파리공항에서 9시간이 문제네요그 다음 갈아타는 비행기가 같은 에어프랑스라 1.어떻게 갈아타는지 아시는분~ 2.공항에서 9시간 보낼곳은 있는지~설명이 가능하신분 부탁드립니다. 3.이스라엘 입국신고서와 심사는 어렵나요?
6,예약사이트로 하이난 인터컨티넨탈 리조트 클럽룸을 7월20일부터 24일까지 2개를 예약할려고 하니까 금액이 2,/qna/detail.nhn?d1id=9&dirId=9020601&docId=298557884,예약사이트로 하이난 인터컨티넨탈 리조트 클럽룸을 7월20일부터 24일까지 2개를 예약할려고 하니까 금액이 2백5만뭔정도 나오는군요. 적당한 금액인지. 조식포함 가격과 불포함 가격이 틀린데 클럽룸은 전용 라운지에서 식사와 음료가 무료 아닌가요? 리조트 위치는 좋은지. 주변에 자유롭게 관광할 곳은 있나요? 동일가격에 더좋은 리조트는 없는지 추천 부탁합니다.
7,피아플로스를 일본현지 오사카 도톤보리거리에서 살수있나요?,/qna/detail.nhn?d1id=9&dirId=9020101&docId=298557741,이상품을 사고 싶은데 오사가 토톤보리에서 살수있나요?혹시 파는거 보신적있나요?어디서 살수있나요?
8,제주도 렌트카,/qna/detail.nhn?d1id=9&dirId=90112&docId=298557656,제주도에서 차를 렌트하려고 하는데 한명은 만 21세가 지났고 한명은 만 21세가 안 지났습니다.만 21세가 지난 사람만 운전 하면 전연령렌트카로 안해도 되나요?
9,17년도 7월 13일날 출산후ㅡ 60일 모유수유하고 ㅡ 지금은 분유 먹이고있어요... 출산후.... 첫 생리,/qna/detail.nhn?d1id=9&dirId=90112&docId=298557615,17년도 7월 13일날 출산후ㅡ60일 모유수유하고 ㅡ 지금은 분유 먹이고있어요...출산후....첫 생리 ㅡ 10월 8일 ㅡ 15일두번째 ㅡ 11월 5일 ㅡ11일세번째 ㅡ 12월 7일 ㅡ 14일네번째 ㅡ 1월 12일 ㅡ18일다섯번째 ㅡ 2월 15일 ㅡ 19일...여기까진 정상적으로 한거 같은데ㅡ3월 19일부터ㅡ오늘 16일째 생리를 하고 있어요ㅠ이거 무슨 문제가 있는건지ㅡ통증 이런건 없어요생리양이 첨보단 줄어든건 있지만 그닥 많이 줄진 않고ㅡ 보통 생리할때 3-4일째 양 정도 나오는거 같아요ㅠ.ㅠ 병원가서 검사라도 해봐야겠죠?걱정이 좀 되긴한데ㅠ 이런 경험 있으신분 있으세요? ㅠ
